Code,area_risco_km2,Município,SIGLA_UF,Code,area_municipio_km2,perc_area_em_risco
4305108,1654.03403,Caxias do Sul,RS,4305108,1654.03403,100
4305116,134.2941194,Centenário,RS,4305116,134.2941194,100
4305124,451.7710262,Cerrito,RS,4305124,451.7710262,100
4305132,158.0430289,Cerro Branco,RS,4305132,158.0430289,100
4305157,73.44398857,Cerro Grande,RS,4305157,73.44398857,100
4305173,325.0928472,Cerro Grande do Sul,RS,4305173,325.0928472,100
4305207,176.6526714,Cerro Largo,RS,4305207,176.6526714,100
4305306,684.3107,Chapada,RS,4305306,684.3107,100
4305355,217.5109363,Charqueadas,RS,4305355,217.5109363,100
4305371,198.8427751,Charrua,RS,4305371,198.8427751,100
4305405,397.1795969,Chiapetta,RS,4305405,397.1795969,100
4305439,202.3954239,Chuí,RS,4305439,202.396101,99.99966546
4305447,220.5705814,Chuvisca,RS,4305447,220.5705814,100
4305454,243.8061473,Cidreira,RS,4305454,243.8065686,99.99982721
4305504,274.4906383,Ciríaco,RS,4305504,274.4906383,100
4305587,60.76393328,Colinas,RS,4305587,60.76393328,100
4305603,286.3292018,Colorado,RS,4305603,286.3292018,100
4305702,463.5822082,Condor,RS,4305702,463.5822082,100
4305801,203.6383527,Constantina,RS,4305801,203.6383527,100
4305835,112.6844239,Coqueiro Baixo,RS,4305835,112.6844239,100
4305850,277.1978942,Coqueiros do Sul,RS,4305850,277.1978942,100
4305871,163.6830254,Coronel Barros,RS,4305871,163.6830254,100
4305900,492.3103211,Coronel Bicaco,RS,4305900,492.3103211,100
4305934,105.7321262,Coronel Pilar,RS,4305934,105.7321262,100
4305959,173.3125827,Cotiporã,RS,4305959,173.3125827,100
4305975,422.2413321,Coxilha,RS,4305975,422.2413321,100
4306007,362.1945213,Crissiumal,RS,4306007,362.1950578,99.99985186
4306056,682.4332327,Cristal,RS,4306056,682.4332327,100
4306072,97.08389134,Cristal do Sul,RS,4306072,97.08389134,100
4306106,1360.581335,Cruz Alta,RS,4306106,1360.581335,100
4306130,166.9194239,Cruzaltense,RS,4306130,166.9194239,100
4306205,155.1275073,Cruzeiro do Sul,RS,4306205,155.1275073,100
4306304,174.8332099,David Canabarro,RS,4306304,174.8332099,100
4306320,360.8495243,Derrubadas,RS,4306320,360.851284,99.99951232
4306353,217.3932287,Dezesseis de Novembro,RS,4306353,217.3932287,100
4306379,600.520368,Dilermando de Aguiar,RS,4306379,600.520368,100
4306403,66.17870033,Dois Irmãos,RS,4306403,66.17870033,100
4306429,226.0792424,Dois Irmãos das Missões,RS,4306429,226.0792424,100
4306452,133.6071306,Dois Lajeados,RS,4306452,133.6071306,100
4306502,1355.693599,Dom Feliciano,RS,4306502,1355.693599,100
4306601,5194.351827,Dom Pedrito,RS,4306601,5194.35476,99.99994353
4306551,78.37537407,Dom Pedro de Alcântara,RS,4306551,78.37537407,100
4306700,114.1542096,Dona Francisca,RS,4306700,114.1542096,100
4306734,255.7334762,Doutor Maurácio Cardoso,RS,4306734,255.7356937,99.99913291
4306759,108.0122742,Doutor Ricardo,RS,4306759,108.0122742,100
4306767,509.9796594,Eldorado do Sul,RS,4306767,509.9802868,99.99987699
4306809,140.0766664,Encantado,RS,4306809,140.0766664,100
4306908,3348.537731,Encruzilhada do Sul,RS,4306908,3348.537731,100
4306924,71.20124631,Engenho Velho,RS,4306924,71.20124631,100
4306957,119.9359679,Entre Rios do Sul,RS,4306957,119.9359679,100
4306932,552.9931407,Entre-Ijuís,RS,4306932,552.9931407,100
4306973,152.8449049,Erebango,RS,4306973,152.8449049,100
4307005,429.3205673,Erechim,RS,4307005,429.3205673,100
4307054,238.6176677,Ernestina,RS,4307054,238.6176677,100
4307203,285.7470033,Erval Grande,RS,4307203,285.7470033,100
4307302,357.1909526,Erval Seco,RS,4307302,357.1909526,100
4307401,830.380396,Esmeralda,RS,4307401,830.380396,100
4307450,148.9090384,Esperança do Sul,RS,4307450,148.9093793,99.99977102
4307500,783.7711028,Espumoso,RS,4307500,783.7711028,100
4307609,51.8263629,Estância Velha,RS,4307609,51.8263629,100
4307559,99.79213452,Estação,RS,4307559,99.79213452,100
4307708,27.70184174,Esteio,RS,4307708,27.70184174,100
4307807,185.1191138,Estrela,RS,4307807,185.1191138,100
4307815,281.6348137,Estrela Velha,RS,4307815,281.6348137,100
4307831,418.0718546,Eugênio de Castro,RS,4307831,418.0718546,100
4307864,134.3791818,Fagundes Varela,RS,4307864,134.3791818,100
4307906,361.6336833,Farroupilha,RS,4307906,361.6336833,100
4308003,169.5201657,Faxinal do Soturno,RS,4308003,169.5201657,100
4308052,143.3510867,Faxinalzinho,RS,4308052,143.3510867,100
4308078,84.83985862,Fazenda Vilanova,RS,4308078,84.83985862,100
4308102,94.91290231,Feliz,RS,4308102,94.91290231,100
4308201,276.4912118,Flores da Cunha,RS,4308201,276.4912118,100
4308250,168.5977817,Floriano Peixoto,RS,4308250,168.5977817,100
4308300,583.419069,Fontoura Xavier,RS,4308300,583.419069,100
4308409,578.8914983,Formigueiro,RS,4308409,578.8914983,100
4308433,93.31202184,Forquetinha,RS,4308433,93.31202184,100
4308458,650.5528982,Fortaleza dos Valos,RS,4308458,650.5528982,100
4308508,265.1943036,Frederico Westphalen,RS,4308508,265.1943036,100
4308607,168.606705,Garibaldi,RS,4308607,168.606705,100
4308656,803.9606414,Garruchos,RS,4308656,803.9641776,99.99956016
4308706,204.5162102,Gaurama,RS,4308706,204.5162102,100
4308805,510.2649888,General Câmara,RS,4308805,510.2649888,100
4308854,184.7994561,Gentil,RS,4308854,184.7994561,100
4308904,287.5808415,Getúlio Vargas,RS,4308904,287.5808415,100
4309001,857.0689983,Giruá,RS,4309001,857.0689983,100
4309050,324.3433868,Glorinha,RS,4309050,324.3433868,100
4309100,239.6096989,Gramado,RS,4309100,239.6096989,100
4309126,131.4125013,Gramado dos Loureiros,RS,4309126,131.4125013,100
4309159,217.5651726,Gramado Xavier,RS,4309159,217.5651726,100
4309209,468.7908733,Gravataá,RS,4309209,468.7908733,100
4309308,376.4484705,Guaíba,RS,4309308,376.4495805,99.99970513
4309258,147.02026,Guabiju,RS,4309258,147.02026,100
4309407,297.6978166,Guaporé,RS,4309407,297.6978166,100
4309506,290.7141995,Guarani das Missões,RS,4309506,290.7141995,100
4309555,48.59409194,Harmonia,RS,4309555,48.59409194,100
4307104,1759.797183,Herval,RS,4307104,1759.798122,99.99994662
4309571,118.2852169,Herveiras,RS,4309571,118.2852169,100
4309605,229.6964612,Horizontina,RS,4309605,229.6964612,100
4309654,822.6091008,Hulha Negra,RS,4309654,822.6091008,100
4309704,135.0106442,Humaitá,RS,4309704,135.0106442,100
4309753,195.4430445,Ibarama,RS,4309753,195.4430445,100
4309803,348.9820294,Ibiaçá,RS,4309803,348.9820294,100
4309902,292.3544701,Ibiraiaras,RS,4309902,292.3544701,100
4309951,307.2510296,Ibirapuitã,RS,4309951,307.2510296,100
4310009,607.2347673,Ibirubá,RS,4310009,607.2347673,100
4310108,138.4670545,Igrejinha,RS,4310108,138.4670545,100
4310207,688.9832709,Ijuí,RS,4310207,688.9832709,100
4310306,123.6527723,Ilópolis,RS,4310306,123.6527723,100
4310330,39.83419569,Imbé,RS,4310330,39.83472413,99.9986734
4310363,71.7576067,Imigrante,RS,4310363,71.7576067,100
4310405,358.2851266,Independência,RS,4310405,358.2851266,100
4310413,113.7486665,Inhacorá,RS,4310413,113.7486665,100
4310439,599.5468255,Ipê,RS,4310439,599.5468255,100
4310462,158.7570322,Ipiranga do Sul,RS,4310462,158.7570322,100
4310504,181.5919476,Iraí,RS,4310504,181.5919476,100
4310538,172.8022226,Itaara,RS,4310538,172.8022226,100
4310553,1121.087496,Itacurubi,RS,4310553,1121.087496,100
4310579,184.7441894,Itapuca,RS,4310579,184.7441894,100
4310603,3408.527893,Itaqui,RS,4310603,3408.531382,99.99989765
4310652,205.4097973,Itati,RS,4310652,205.4097973,100
4310702,212.7281099,Itatiba do Sul,RS,4310702,212.7281099,100
4310751,122.9319948,Ivorá,RS,4310751,122.9319948,100
4310801,63.15097028,Ivoti,RS,4310801,63.15097028,100
4311155,1238.923287,Jóia,RS,4311155,1238.923287,100
4310850,127.5973936,Jaboticaba,RS,4310850,127.5973936,100
4310876,339.4358794,Jacuizinho,RS,4310876,339.4358794,100
4310900,178.0542356,Jacutinga,RS,4310900,178.0542356,100
4311007,2051.94082,Jaguarão,RS,4311007,2051.945486,99.9997726
4311106,675.3478437,Jaguari,RS,4311106,675.3478437,100
4311205,1929.577516,Júlio de Castilhos,RS,4311205,1929.577516,100
4311122,910.2900724,Jaquirana,RS,4311122,910.2900724,100
4311130,853.0893839,Jari,RS,4311130,853.0893839,100
4311239,109.7696609,Lagoa Bonita do Sul,RS,4311239,109.7696609,100
4300002,7.665862858,Lagoa dos Patos,RS,4300002,10209.73505,0.075083857
4311270,138.6238756,Lagoa dos Três Cantos,RS,4311270,138.6238756,100
4300001,12.21253606,Lagoa Mirim,RS,4300001,2884.611031,0.423368556
4311304,1261.162979,Lagoa Vermelha,RS,4311304,1261.162979,100
4311254,387.5516489,Lagoão,RS,4311254,387.5516489,100
4311403,91.27300703,Lajeado,RS,4311403,91.27300703,100
4311429,67.95227868,Lajeado do Bugre,RS,4311429,67.95227868,100
4311502,2600.997932,Lavras do Sul,RS,4311502,2600.997932,100
4311601,245.6532286,Liberato Salzano,RS,4311601,245.6532286,100
4311627,33.38118464,Lindolfo Collor,RS,4311627,33.38118464,100
4311643,63.55919212,Linha Nova,RS,4311643,63.55919212,100
4311718,1683.450243,Maçambará,RS,4311718,1683.450243,100
4311700,335.4164327,Machadinho,RS,4311700,335.4164327,100
4311734,156.9450187,Mampituba,RS,4311734,156.9450187,100
4311759,1391.089816,Manoel Viana,RS,4311759,1391.089816,100
4311775,614.6002349,Maquiné,RS,4311775,614.6002349,100
4311791,82.1194735,Maratá,RS,4311791,82.1194735,100
4311809,650.0015534,Marau,RS,4311809,650.0015534,100
4311908,229.8758427,Marcelino Ramos,RS,4311908,229.8758427,100
4311981,338.6765252,Mariana Pimentel,RS,4311981,338.6765252,100
4312005,98.76793059,Mariano Moro,RS,4312005,98.76793059,100
4312054,125.7648131,Marques de Souza,RS,4312054,125.7648131,100
4312104,316.1288408,Mata,RS,4312104,316.1288408,100
4312138,238.3602458,Mato Castelhano,RS,4312138,238.3602458,100
4312153,46.81747212,Mato Leitão,RS,4312153,46.81747212,100
4312179,114.6584788,Mato Queimado,RS,4312179,114.6584788,100
4312203,208.5591605,Maximiliano de Almeida,RS,4312203,208.5591605,100
4312252,424.5186727,Minas do Leão,RS,4312252,424.5186727,100
4312302,131.2368141,Miraguaí,RS,4312302,131.2368141,100
4312351,82.2681846,Montauri,RS,4312351,82.2681846,100
4312377,550.116311,Monte Alegre dos Campos,RS,4312377,550.116311,100
4312385,69.77129003,Monte Belo do Sul,RS,4312385,69.77129003,100
4312401,425.3320304,Montenegro,RS,4312401,425.3320304,100
4312427,146.2214252,Mormaço,RS,4312427,146.2214252,100
4312443,166.5414772,Morrinhos do Sul,RS,4312443,166.5414772,100
4312450,244.6956296,Morro Redondo,RS,4312450,244.6956296,100
4312476,89.5020921,Morro Reuter,RS,4312476,89.5020921,100
4312500,1979.826574,Mostardas,RS,4312500,1979.833566,99.99964684
4312609,111.3085878,Muçum,RS,4312609,111.3085878,100
4312617,1194.316343,Muitos Capões,RS,4312617,1194.316343,100
4312625,111.1971399,Muliterno,RS,4312625,111.1971399,100
4312658,361.7479427,Não-Me-Toque,RS,4312658,361.7479427,100
4312674,155.0386771,Nicolau Vergueiro,RS,4312674,155.0386771,100
4312708,469.0379826,Nonoai,RS,4312708,469.0379826,100
4312757,148.9192314,Nova Alvorada,RS,4312757,148.9192314,100
4312807,75.55881843,Nova Araçá,RS,4312807,75.55881843,100
4312906,211.7387231,Nova Bassano,RS,4312906,211.7387231,100
4312955,93.74438731,Nova Boa Vista,RS,4312955,93.74438731,100
4313003,103.0407787,Nova Bréscia,RS,4313003,103.0407787,100
4313011,97.57934352,Nova Candelária,RS,4313011,97.57934352,100
4313037,191.0147862,Nova Esperança do Sul,RS,4313037,191.0147862,100
4313060,62.38903664,Nova Hartz,RS,4313060,62.38903664,100
4313086,102.7300176,Nova Pádua,RS,4313086,102.7300176,100
4313102,314.6244099,Nova Palma,RS,4313102,314.6244099,100
4313201,290.4509901,Nova Petrópolis,RS,4313201,290.4509901,100
4313300,260.1191967,Nova Prata,RS,4313300,260.1191967,100
4313334,255.2672139,Nova Ramada,RS,4313334,255.2672139,100
4313359,149.8841067,Nova Roma do Sul,RS,4313359,149.8841067,100
4313375,218.3381048,Nova Santa Rita,RS,4313375,218.3381048,100
4313490,123.355738,Novo Barreiro,RS,4313490,123.355738,100
4313391,193.0207335,Novo Cabrais,RS,4313391,193.0207335,100
4313409,222.7596726,Novo Hamburgo,RS,4313409,222.7596726,100
4313425,218.8419041,Novo Machado,RS,4313425,218.8435071,99.99926753
4313441,75.4341468,Novo Tiradentes,RS,4313441,75.4341468,100
4313466,79.85922156,Novo Xingu,RS,4313466,79.85922156,100
4313508,664.9426359,Osório,RS,4313508,664.9428487,99.99996799
4313607,182.2224975,Paim Filho,RS,4313607,182.2224975,100
4313656,950.5671244,Palmares do Sul,RS,4313656,950.5738274,99.99929485
4313706,1421.168338,Palmeira das Missões,RS,4313706,1421.168338,100
4313805,144.1842268,Palmitinho,RS,4313805,144.1842268,100
4313904,491.579326,Panambi,RS,4313904,491.579326,100
4313953,841.4832674,Pantano Grande,RS,4313953,841.4832674,100
4314001,121.815393,Paraí,RS,4314001,121.815393,100
4314027,337.5638336,Paraíso do Sul,RS,4314027,337.5638336,100
4314035,57.52874457,Pareci Novo,RS,4314035,57.52874457,100
4314050,108.8311359,Parobé,RS,4314050,108.8311359,100
4314068,304.3105102,Passa Sete,RS,4314068,304.3105102,100
4314076,265.2279324,Passo do Sobrado,RS,4314076,265.2279324,100
4314100,784.6305679,Passo Fundo,RS,4314100,784.6305679,100
4314134,149.7152356,Paulo Bento,RS,4314134,149.7152356,100
4314159,171.9658751,Paverama,RS,4314159,171.9658751,100
4314175,1373.999715,Pedras Altas,RS,4314175,1374.001496,99.99987038
4314209,603.8644038,Pedro Osório,RS,4314209,603.8644038,100
4314308,414.1142516,Pejuçara,RS,4314308,414.1142516,100
4314407,1609.264217,Pelotas,RS,4314407,1609.271803,99.99952859
4314423,84.36254964,Picada Café,RS,4314423,84.36254964,100
4314456,68.22667301,Pinhal,RS,4314456,68.22667301,100
4314464,438.5152984,Pinhal da Serra,RS,4314464,438.5152984,100
4314472,478.136342,Pinhal Grande,RS,4314472,478.136342,100
4314498,105.3871537,Pinheirinho do Vale,RS,4314498,105.3871537,100
4314506,2249.264004,Pinheiro Machado,RS,4314506,2249.264004,100
4314548,104.8800331,Pinto Bandeira,RS,4314548,104.8800331,100
4314555,293.7775065,Pirapó,RS,4314555,293.7781598,99.99977763
4314605,3538.62288,Piratini,RS,4314605,3538.62288,100
4314704,228.57605,Planalto,RS,4314704,228.57605,100
4314753,67.66153919,Poço das Antas,RS,4314753,67.66153919,100
4314779,502.8204827,Pontão,RS,4314779,502.8204827,100
4314787,99.5310758,Ponte Preta,RS,4314787,99.5310758,100
4314803,159.4376231,Portão,RS,4314803,159.4376231,100
4314902,495.8426034,Porto Alegre,RS,4314902,495.8466445,99.99918501
4315008,250.9023126,Porto Lucena,RS,4315008,250.9033152,99.99960039
4315057,105.8149931,Porto Mauá,RS,4315057,105.8162222,99.99883842
4315073,114.2936405,Porto Vera Cruz,RS,4315073,114.2948906,99.99890629
4315107,281.5396785,Porto Xavier,RS,4315107,281.5406643,99.99964984
4315131,105.3768542,Pouso Novo,RS,4315131,105.3768542,100
4315149,49.67382815,Presidente Lucena,RS,4315149,49.67382815,100
4315156,256.1233318,Progresso,RS,4315156,256.1233318,100
4315172,172.1218931,Protásio Alves,RS,4315172,172.1218931,100
4315206,216.2464581,Putinga,RS,4315206,216.2464581,100
4315305,3141.671873,Quaraí,RS,4315305,3141.67602,99.99986802
4315313,269.0460039,Quatro Irmãos,RS,4315313,269.0460039,100
4315321,543.3595866,Quevedos,RS,4315321,543.3595866,100
4315354,223.0926069,Quinze de Novembro,RS,4315354,223.0926069,100
4315404,303.710433,Redentora,RS,4315404,303.710433,100
4315453,108.2356195,Relvado,RS,4315453,108.2356195,100
4315503,968.6689492,Restinga Sêca,RS,4315503,968.6689492,100
4315552,235.8901561,Rio dos Índios,RS,4315552,235.8901561,100
4315602,2680.380489,Rio Grande,RS,4315602,2683.62439,99.87912239
4315701,2051.693296,Rio Pardo,RS,4315701,2051.693296,100
4315750,239.449176,Riozinho,RS,4315750,239.449176,100
4315800,208.2227447,Roca Sales,RS,4315800,208.2227447,100
4315909,83.28464275,Rodeio Bonito,RS,4315909,83.28464275,100
4315958,295.3509917,Rolador,RS,4315958,295.3509917,100
4316006,296.4979492,Rolante,RS,4316006,296.4979492,100
4316105,418.7532666,Ronda Alta,RS,4316105,418.7532666,100
4316204,252.4907939,Rondinha,RS,4316204,252.4907939,100
4316303,349.1233355,Roque Gonzales,RS,4316303,349.1239243,99.99983136
4316402,4344.302937,Rosário do Sul,RS,4316402,4344.302937,100
4318002,3618.078623,São Borja,RS,4318002,3618.083999,99.99985144
4318051,78.71248167,São Domingos do Sul,RS,4318051,78.71248167,100
4318101,2507.355206,São Francisco de Assis,RS,4318101,2507.355206,100
4318200,3322.393989,São Francisco de Paula,RS,4318200,3322.393989,100
4318309,5053.563898,São Gabriel,RS,4318309,5053.563898,100
4318408,936.0708805,São Jerônimo,RS,4318408,936.0708805,100
4318424,171.124734,São João da Urtiga,RS,4318424,171.124734,100
4318432,78.32283223,São João do Polêsine,RS,4318432,78.32283223,100
4318440,125.6977015,São Jorge,RS,4318440,125.6977015,100
4318457,98.13376272,São José das Missões,RS,4318457,98.13376272,100
4318465,102.9475189,São José do Herval,RS,4318465,102.9475189,100
4318481,63.76401465,São José do Hortêncio,RS,4318481,63.76401465,100
4318499,77.732218,São José do Inhacorá,RS,4318499,77.732218,100
4318507,1072.465367,São José do Norte,RS,4318507,1072.479727,99.99866108
4318606,335.5266737,São José do Ouro,RS,4318606,335.5266737,100
4318614,54.80403499,São José do Sul,RS,4318614,54.80403499,100
4318622,1176.165535,São José dos Ausentes,RS,4318622,1176.165535,100
4318705,103.1056556,São Leopoldo,RS,4318705,103.1056556,100
4318804,2036.93207,São Lourenço do Sul,RS,4318804,2036.934596,99.99987597
4318903,1295.647536,São Luiz Gonzaga,RS,4318903,1295.647536,100
4319000,256.4175351,São Marcos,RS,4319000,256.4175351,100
4319109,171.2450702,São Martinho,RS,4319109,171.2450702,100
4319125,669.549281,São Martinho da Serra,RS,4319125,669.549281,100
4319158,1228.487955,São Miguel das Missões,RS,4319158,1228.487955,100
4319208,485.6769103,São Nicolau,RS,4319208,485.6772897,99.99992187
4319307,223.9681132,São Paulo das Missões,RS,4319307,223.9681132,100
4319356,35.23175158,São Pedro da Serra,RS,4319356,35.23175158,100
4319364,79.89962712,São Pedro das Missões,RS,4319364,79.89962712,100
4319372,107.5685287,São Pedro do Butiá,RS,4319372,107.5685287,100
4319406,873.4008582,São Pedro do Sul,RS,4319406,873.4008582,100
4319505,114.3869978,São Sebastião do Caá,RS,4319505,114.3869978,100
4319604,2204.82562,São Sepé,RS,4319604,2204.82562,100
4319737,107.4022822,São Valério do Sul,RS,4319737,107.4022822,100
4319703,154.4883949,São Valentim,RS,4319703,154.4883949,100
4319711,91.95234574,São Valentim do Sul,RS,4319711,91.95234574,100
4319752,31.96038399,São Vendelino,RS,4319752,31.96038399,100
4319802,1174.903262,São Vicente do Sul,RS,4319802,1174.903262,100
4320453,98.16559089,Sério,RS,4320453,98.16559089,100
4316428,77.89610381,Sagrada Famália,RS,4316428,77.89610381,100
4316436,221.5753957,Saldanha Marinho,RS,4316436,221.5753957,100
4316451,507.7316127,Salto do Jacuá,RS,4316451,507.7316127,100
4316477,94.31976809,Salvador das Missões,RS,4316477,94.31976809,100
4316501,99.2264445,Salvador do Sul,RS,4316501,99.2264445,100
4316600,504.7302157,Sananduva,RS,4316600,504.7302157,100
4316709,975.863692,Santa Bárbara do Sul,RS,4316709,975.863692,100
4316733,200.1609474,Santa Cecália do Sul,RS,4316733,200.1609474,100
4316758,86.47698537,Santa Clara do Sul,RS,4316758,86.47698537,100
4316808,734.1122076,Santa Cruz do Sul,RS,4316808,734.1122076,100
4316972,955.3010629,Santa Margarida do Sul,RS,4316972,955.3010629,100
4316907,1780.203082,Santa Maria,RS,4316907,1780.203082,100
4316956,140.5854508,Santa Maria do Herval,RS,4316956,140.5854508,100
4317202,489.3940523,Santa Rosa,RS,4317202,489.3940523,100
4317251,73.71434235,Santa Tereza,RS,4317251,73.71434235,100
4317301,5207.547054,Santa Vitória do Palmar,RS,4317301,5207.565125,99.99965298
4317004,1418.915728,Santana da Boa Vista,RS,4317004,1418.915728,100
4317103,6948.390911,Sant'Ana do Livramento,RS,4317103,6948.40485,99.99979939
4317400,2414.382312,Santiago,RS,4317400,2414.382312,100
4317509,679.3473578,Santo Ângelo,RS,4317509,679.3473578,100
4317608,1051.043,Santo Antônio da Patrulha,RS,4317608,1051.043,100
4317707,1711.283807,Santo Antônio das Missões,RS,4317707,1711.283807,100
4317558,126.1542324,Santo Antônio do Palma,RS,4317558,126.1542324,100
