estacao,latitude,longitude,CD_MUN,Município,SIGLA_UF
CRISTALINA (FAZENDA SANTA MONICA),-16.39944444,-47.62583332,5206206,Cristalina,GO
VICOSA,-20.762607,-42.864013,3171303,Viçosa,MG
MANTENA,-18.78062,-40.986505,3139607,Mantena,MG
ITAMARAJU,-17.00694444,-39.55805555,2915601,Itamaraju,BA
CAPAO DO LEAO (PELOTAS),-31.8025,-52.40722222,4304663,Capão do Leão,RS
JAGUARIBE,-5.90555555,-38.62777777,2306900,Jaguaribe,CE
CRATEUS,-5.18666666,-40.67222221,2304103,Crateús,CE
SIDROLANDIA,-20.98166666,-54.97194443,5007901,Sidrolândia,MS
CURACA,-9.00138888,-39.9125,2909901,Curaçá,BA
GUARANTA DO NORTE,-9.9525,-54.89777777,5104104,Guarantã do Norte,MT
SAO JOSE DOS AUSENTES,-28.7486111,-50.05777777,4318622,São José dos Ausentes,RS
IGUATU,-6.39638888,-39.26888888,2305506,Iguatu,CE
PARANAPOEMA,-22.65833333,-52.13444444,4118303,Paranapoema,PR
LAGES,-27.80222222,-50.33555555,4209300,Lages,SC
PACAJA,-3.8436111,-50.63805555,1505486,Pacajá,PA
ICARAIMA,-23.39027777,-53.63583333,4109906,Icaraíma,PR
LABREA,-7.26055555,-64.7886111,1302405,Lábrea,AM
BARRETOS,-20.55916666,-48.54499999,3505500,Barretos,SP
AVARE,-23.10166666,-48.9411111,3504503,Avaré,SP
GUANHAES,-18.78694444,-42.94305555,3128006,Guanhães,MG
CHAPADA GAUCHA,-15.30027777,-45.61749999,3116159,Chapada Gaúcha,MG
PICO DO COUTO,-22.46472222,-43.29138888,3303906,Petrópolis,RJ
CRUZ ALTA,-28.60344,-53.673597,4306106,Cruz Alta,RS
MONTEIRO,-7.89444444,-37.12472221,2509701,Monteiro,PB
SERRA NOVA DOURADA,-11.98777777,-51.4261111,5107883,Serra Nova Dourada,MT
CAMPINA GRANDE,-7.22555554,-35.90472222,2504009,Campina Grande,PB
MATEIROS,-10.43444444,-45.92194443,1712702,Mateiros,TO
ITAUBAL,0.56777777,-50.8236111,1600253,Itaubal,AP
CORRENTINA,-13.33249999,-44.61749999,2909307,Correntina,BA
ITUVERAVA,-20.35972222,-47.77527777,3524105,Ituverava,SP
BAURU,-22.35805555,-49.02888888,3506003,Bauru,SP
CORONEL PACHECO,-21.54666666,-43.26111111,3127388,Goianá,MG
INDAIAL,-26.91361111,-49.26805554,4207502,Indaial,SC
CAMPOS LINDOS,-8.15472222,-46.63944444,1703842,Campos Lindos,TO
BARRA,-11.08472221,-43.13888888,2902708,Barra,BA
SALVADOR,-13.005515,-38.50576,2927408,Salvador,BA
PLACAS,-3.86416666,-54.21638888,1505650,Placas,PA
GAUCHA DO NORTE,-13.18472221,-53.2575,5103858,Gaúcha do Norte,MT
REGISTRO,-24.53305554,-47.86416666,3542602,Registro,SP
ARRAIAL DO CABO,-22.97527777,-42.02138888,3300258,Arraial do Cabo,RJ
PREGUICAS,-2.59222221,-42.7075,2101707,Barreirinhas,MA
RIO CLARO,-22.653579,-44.040916,3304409,Rio Claro,RJ
CLEVELANDIA,-26.41722221,-52.3486111,4105706,Clevelândia,PR
VENDA NOVA DO IMIGRANTE,-20.38555555,-41.18999999,3205069,Venda Nova do Imigrante,ES
PETROLINA,-9.38833333,-40.52333332,2611101,Petrolina,PE
OURINHOS,-23.00055555,-49.84333333,3534708,Ourinhos,SP
SOURE,-0.72777777,-48.51583333,1507904,Soure,PA
BURITICUPU,-4.32055554,-46.44944444,2102325,Buriticupu,MA
RIO DO CAMPO,-26.93749999,-50.14555555,4214508,Rio do Campo,SC
SILVANIA,-16.67972221,-48.61805554,5220603,Silvânia,GO
TERESINA,-5.03472221,-42.80138888,2211001,Teresina,PI
IPIAU,-14.17138888,-39.69249999,2913903,Ipiaú,BA
DOIS VIZINHOS,-25.69916666,-53.09527777,4107207,Dois Vizinhos,PR
POMPEU,-19.23249999,-44.96416666,3152006,Pompéu,MG
PONTES E LACERDA,-15.23444444,-59.3461111,5106752,Pontes e Lacerda,MT
SANTA CRUZ,-6.22805554,-36.02666666,2411205,Santa Cruz,RN
BREVES,-1.68027777,-50.47805554,1501808,Breves,PA
RIO NEGRINHO,-26.2486111,-49.57416666,4215000,Rio Negrinho,SC
SANTANA DO ARAGUAIA,-9.34055555,-50.35027777,1506708,Santana do Araguaia,PA
BOM JARDIM DA SERRA - MORRO DA IGREJA,-28.12694443,-49.47972221,4202503,Bom Jardim da Serra,SC
ANGICAL DO PIAUI,-6.08944444,-42.72749999,2200608,Angical do Piauí,PI
BRAZLANDIA,-15.59972221,-48.1311111,5300108,Brasília,DF
SANTA MARIA MADALENA,-21.95055555,-42.01027777,3304607,Santa Maria Madalena,RJ
BARREIRAS,-12.12472221,-45.02694443,2903201,Barreiras,BA
ALTAMIRA,-3.26999999,-52.39472221,1500602,Altamira,PA
SANTA TERESA,-19.98833333,-40.57944443,3204500,Santa Leopoldina,ES
MAJOR VIEIRA,-26.3936111,-50.36333333,4210308,Major Vieira,SC
IBOTIRAMA,-12.19305555,-43.21333333,2913200,Ibotirama,BA
CAMPO VERDE,-15.55888888,-55.17944443,5102678,Campo Verde,MT
EDEIA,-17.33694444,-49.91472222,5207402,Edéia,GO
JOACABA,-27.16916666,-51.55888888,4209003,Joaçaba,SC
URUCUI,-7.44138888,-44.34499999,2211209,Uruçuí,PI
LARANJEIRAS DO SUL,-25.37138888,-52.40083333,4113304,Laranjeiras do Sul,PR
SILVA JARDIM,-22.64583333,-42.41555555,3305604,Silva Jardim,RJ
XANXERE,-26.938666,-52.39809,4219507,Xanxerê,SC
JEREMOABO,-10.08083332,-38.34583333,2918100,Jeremoabo,BA
SAO LUIS DO QUITUNDE,-9.28749999,-35.56583333,2708501,São Luís do Quitunde,AL
FOZ DO IGUACU,-25.60194444,-54.48305554,4108304,Foz do Iguaçu,PR
CACADOR,-26.81916666,-50.98555555,4203006,Caçador,SC
FEIJO,-8.14277777,-70.3436111,1200302,Feijó,AC
ITIRUCU,-13.52777777,-40.11972221,2917607,Jaguaquara,BA
CASA BRANCA,-21.78055554,-47.07527777,3510807,Casa Branca,SP
SAO SEBASTIAO DO PARAISO,-20.91,-47.11416666,3164704,São Sebastião do Paraíso,MG
CUIABA,-15.60694444,-56.06083333,5103403,Cuiabá,MT
NOVA PORTEIRINHA (JANAUBA),-15.80277777,-43.29694444,3145059,Nova Porteirinha,MG
MAUES,-3.39888888,-57.67388888,1302900,Maués,AM
MORRETES,-25.50888888,-48.80861111,4116208,Morretes,PR
SAO GABRIEL,-30.34138888,-54.31083333,4318309,São Gabriel,RS
SAO ROMAO,-16.36277777,-45.12388888,3164209,São Romão,MG
TEUTONIA,-29.44916666,-51.82333332,4321451,Teutônia,RS
DRACENA,-21.45777777,-51.55222222,3514403,Dracena,SP
CAXIAS,-4.82138888,-43.3436111,2103000,Caxias,MA
TERESOPOLIS-PARQUE NACIONAL,-22.4486111,-42.98694444,3305802,Teresópolis,RJ
TOME ACU,-2.59249999,-48.36055555,1508001,Tomé-Açu,PA
CAMPOS DOS GOYTACAZES,-21.71472222,-41.34388888,3301009,Campos dos Goytacazes,RJ
MONTE ALEGRE,-2.0,-54.07638888,1504802,Monte Alegre,PA
DIAMANTE DO NORTE,-22.63944444,-52.89027777,4107108,Diamante do Norte,PR
RIO DE JANEIRO - JACAREPAGUA,-22.93999999,-43.40277777,3304557,Rio de Janeiro,RJ
PORTO VELHO,-8.7936111,-63.84583333,1100205,Porto Velho,RO
CANGUCU,-31.40333333,-52.70083333,4304507,Canguçu,RS
CAMPOS DO JORDAO,-22.75027777,-45.60388888,3509700,Campos do Jordão,SP
SANTA RITA DE CASSIA,-11.00333333,-44.53638888,2928406,Santa Rita de Cássia,BA
SAO JOAQUIM,-28.27555554,-49.93472221,4216503,São Joaquim,SC
JUARA,-11.28027777,-57.52666666,5105101,Juara,MT
IGUAPE,-24.67166666,-47.54583333,3520301,Iguape,SP
BARBALHA,-7.30083333,-39.2711111,2301901,Barbalha,CE
SAO JOSE DO XINGU,-10.48416666,-52.37249999,5107354,São José do Xingu,MT
PARNAIBA,-3.08666666,-41.78305554,2207702,Parnaíba,PI
CURITIBA,-25.4486111,-49.23055554,4106902,Curitiba,PR
QUIXERAMOBIM,-5.17444443,-39.28944444,2311405,Quixeramobim,CE
SANTA FE DO ARAGUAIA,-7.124191,-48.781267,1718865,Santa Fé do Araguaia,TO
MACAE,-22.3761111,-41.81194444,3302403,Macaé,RJ
PORTO ESTRELA,-15.32472221,-57.22583332,5106851,Porto Estrela,MT
CARACOL,-9.28583333,-43.32444443,2202505,Caracol,PI
SAO LUIZ GONZAGA,-28.41722221,-54.9625,4318903,São Luiz Gonzaga,RS
RIBEIRA DO AMPARO,-11.05861111,-38.44416666,2926509,Ribeira do Amparo,BA
ESTREITO,-6.65333333,-47.41833332,2104057,Estreito,MA
ARAXA,-19.60583333,-46.94972221,3104007,Araxá,MG
MARIA DA FE,-22.31444444,-45.37305554,3139904,Maria da Fé,MG
OEIRAS,-6.97416666,-42.14694444,2207009,Oeiras,PI
CORURIPE,-10.1286111,-36.28638888,2702306,Coruripe,AL
RIO BRANCO,-9.95920402,-67.86898266,1200401,Rio Branco,AC
PALMARES,-8.66666666,-35.56805554,2610004,Palmares,PE
ALFREDO CHAVES,-20.63638888,-40.74194444,3200300,Alfredo Chaves,ES
ITAPOA,-26.08138888,-48.64166666,4208450,Itapoá,SC
URUSSANGA,-28.53249999,-49.31527777,4219002,Urussanga,SC
CONDE,-12.03583333,-37.68388888,2908606,Conde,BA
IPORA,-16.42305554,-51.14888888,5210208,Iporá,GO
PORTO MURTINHO,-21.70583333,-57.88666666,5006903,Porto Murtinho,MS
ITACOATIARA,-3.13333333,-58.48277777,1301902,Itacoatiara,AM
CORRENTE,-10.42916666,-45.17305554,2202901,Corrente,PI
ARIRANHA,-21.13305554,-48.84055555,3503703,Ariranha,SP
CRUZEIRO DO SUL,-7.61055555,-72.6811111,1200203,Cruzeiro do Sul,AC
ALTO ARAGUAIA,-17.33944444,-53.22444443,5100300,Alto Araguaia,MT
BURITIS,-15.52416666,-46.43555555,3109303,Buritis,MG
BARBACENA,-21.22833332,-43.76777777,3105608,Barbacena,MG
POSSE,-14.08916666,-46.36638888,5218300,Posse,GO
PEIXE,-12.01527777,-48.54444444,1716604,Peixe,TO
SALGUEIRO,-8.05805555,-39.0961111,2612208,Salgueiro,PE
JUINA,-11.37499999,-58.77472221,5105150,Juína,MT
MEDICILANDIA,-3.51083333,-52.96333333,1504455,Medicilândia,PA
BAGE,-31.34777777,-54.01333333,4301602,Bagé,RS
CARAVELAS,-17.73944444,-39.25861111,2906907,Caravelas,BA
CAMBUCI,-21.58749999,-41.95833333,3300902,Cambuci,RJ
CACHOEIRA PAULISTA,-22.68888888,-45.00555555,3508603,Cachoeira Paulista,SP
BEBEDOURO,-20.94805555,-48.47138888,3506102,Bebedouro,SP
ALEGRE,-20.75055555,-41.48888888,3200201,Alegre,ES
CAMPO NOVO DOS PARECIS,-13.78583333,-57.8386111,5102637,Campo Novo do Parecis,MT
FORMOSO DO ARAGUAIA,-11.88749999,-49.60833333,1708205,Formoso do Araguaia,TO
SANTAREM,-2.5025,-54.72027777,1506807,Santarém,PA
CARLINDA,-9.97055554,-55.82749999,5102793,Carlinda,MT
GURUPI,-11.74499999,-49.05166666,1709500,Gurupi,TO
SALVADOR (RADIO FAROL),-12.80833333,-38.49583333,2927408,Salvador,BA
NOVA UBIRATA,-13.41111111,-54.75222222,5106240,Nova Ubiratã,MT
COMODORO,-13.70805555,-59.7625,5103304,Comodoro,MT
BRASILIA,-15.78944444,-47.92583332,5300108,Brasília,DF
CALDAS,-21.918066,-46.382996,3110301,Caldas,MG
BATAGUASSU,-21.75,-52.47138888,5001904,Bataguassu,MS
MARIANOPOLIS DO TO,-9.57638888,-49.72333332,1703909,Caseara,TO
JOAO PINHEIRO,-17.78444444,-46.11944443,3136306,João Pinheiro,MG
TUPANCIRETA,-29.08944444,-53.82666666,4322202,Tupanciretã,RS
VALENCA DO PIAUI,-6.4236111,-41.74888888,2211308,Valença do Piauí,PI
SAO LUIS,-2.52666666,-44.21361111,2111300,São Luís,MA
PORTO DE MOZ,-1.82194443,-52.11166666,1505908,Porto de Moz,PA
NHUMIRIM,-18.9886111,-56.62277777,5003207,Corumbá,MS
CURVELO,-18.74777777,-44.45388888,3120904,Curvelo,MG
CABROBO,-8.50388888,-39.31527777,2603009,Cabrobó,PE
ITAPACI,-14.97972221,-49.53944444,5210901,Itapaci,GO
CHAPADAO DO SUL,-18.80222222,-52.6025,5002951,Chapadão do Sul,MS
QUERENCIA,-12.60305555,-52.1625,5107065,Querência,MT
GOVERNADOR VALADARES,-18.830354,-41.977007,3127701,Governador Valadares,MG
GENERAL CARNEIRO,-26.3986111,-51.35361111,4108502,General Carneiro,PR
COLINAS,-6.03305554,-44.23333333,2103505,Colinas,MA
PARACATU,-17.24444444,-46.88166666,3147006,Paracatu,MG
CAMPO GRANDE,-20.44722221,-54.72249999,5002704,Campo Grande,MS
MARINGA,-23.40527777,-51.93277777,4115200,Maringá,PR
CAMBARA DO SUL,-29.04916666,-50.14972221,4303608,Cambará do Sul,RS
SAO SIMAO,-18.96916666,-50.63333333,5220405,São Simão,GO
AFONSO CLAUDIO,-20.10416666,-41.10694444,3200102,Afonso Cláudio,ES
UNA,-15.28027777,-39.09138888,2932507,Una,BA
SERRINHA,-11.66472222,-39.02305554,2930501,Serrinha,BA
SAO GABRIEL DO OESTE,-19.42027777,-54.55305555,5007695,São Gabriel do Oeste,MS
SAO MATEUS DO SUL,-25.83555555,-50.36888888,4125605,São Mateus do Sul,PR
PASSO FUNDO,-28.22666666,-52.40361111,4314100,Passo Fundo,RS
SAO PAULO - MIRANTE,-23.49638888,-46.61999999,3550308,São Paulo,SP
TURIACU,-1.66111111,-45.37249999,2112407,Turiaçu,MA
SALTO DO CEU,-15.12472221,-58.12722221,5107750,Salto do Céu,MT
MOSSORO,-4.90416666,-37.36694443,2411056,Tibau,RN
VALPARAISO,-21.31916666,-50.93027777,3506201,Bento de Abreu,SP
ALEGRETE,-29.70916666,-55.52555554,4300406,Alegrete,RS
CASTRO,-24.77999999,-50.04638888,4104907,Castro,PR
SANTA ROSA,-27.89055555,-54.47999999,4317202,Santa Rosa,RS
PORANGATU,-13.30944444,-49.11749999,5218003,Porangatu,GO
CAPITAO POCO,-1.73472221,-47.0575,1502301,Capitão Poço,PA
CAMPO BOM,-29.674293,-51.064042,4303905,Campo Bom,RS
NOVA FRIBURGO - SALINAS,-22.33472221,-42.67694443,3303401,Nova Friburgo,RJ
JOAO PESSOA,-7.16527777,-34.81555555,2507507,João Pessoa,PB
SAO JOAO DO PIAUI,-8.36444444,-42.2525,2210003,São João do Piauí,PI
BARCELOS,-0.98722221,-62.92416666,1300409,Barcelos,AM
RIO SONO,-9.793363,-47.132732,1718758,Rio Sono,TO
DUQUE DE CAXIAS - XEREM,-22.58972221,-43.28222221,3301702,Duque de Caxias,RJ
